Statistical profiling result from artillery_con_log.log, (5014 ticks, 59 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     91    1.8%          /usr/lib/system/libsystem_pthread.dylib
     80    1.6%          /usr/lib/system/libsystem_malloc.dylib
     78    1.6%          /usr/lib/system/libsystem_c.dylib
     44    0.9%          /usr/lib/libc++.1.dylib
     42    0.8%          /usr/lib/system/libsystem_kernel.dylib
     19    0.4%          /usr/lib/system/libsystem_platform.dylib
      7    0.1%          /System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation
      2    0.0%          /usr/lib/system/libdyld.dylib
      2    0.0%          /usr/lib/libc++abi.dylib
      1    0.0%          /usr/lib/system/libdispatch.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     59    1.2%    1.3%  RegExp: [ \t]*<%_
     11    0.2%    0.2%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      5    0.1%    0.1%  LazyCompile: *resolve node:path:1091:10
      5    0.1%    0.1%  LazyCompile: *normalizeString node:path:66:25
      4    0.1%    0.1%  LazyCompile: *scanLine /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/ejs.js:815:22
      4    0.1%    0.1%  LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
      3    0.1%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      3    0.1%    0.1%  RegExp: [\x00-\x1f\x27\x5c\x7f-\x9f]|[\ud800-\udbff](?![\udc00-\udfff])|(?<![\ud800-\udbff])[\udc00-\udfff]
      3    0.1%    0.1%  LazyCompile: *serializeInto /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/serializer.js:553:23
      3    0.1%    0.1%  LazyCompile: *onwrite node:internal/streams/writable:425:17
      3    0.1%    0.1%  LazyCompile: *Readable.read node:internal/streams/readable:394:35
      3    0.1%    0.1%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      3    0.1%    0.1%  Function: ^validateNumber node:internal/validators:123:24
      2    0.0%    0.0%  RegExp: _%>[ \t]*
      2    0.0%    0.0%  RegExp: ^[a-zA-Z_][a-zA-Z_0-9]*$
      2    0.0%    0.0%  RegExp: \u001b\[\d\d?m
