Statistical profiling result from artillery_sin_log.log, (4778 ticks, 50 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     98    2.1%          /usr/lib/system/libsystem_pthread.dylib
     85    1.8%          /usr/lib/system/libsystem_malloc.dylib
     75    1.6%          /usr/lib/system/libsystem_c.dylib
     54    1.1%          /usr/lib/libc++.1.dylib
     40    0.8%          /usr/lib/system/libsystem_kernel.dylib
      9    0.2%          /usr/lib/system/libsystem_platform.dylib
      4    0.1%          /usr/lib/libobjc.A.dylib
      2    0.0%          /usr/lib/libc++abi.dylib
      2    0.0%          /System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation
      1    0.0%          /usr/lib/system/libdyld.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     76    1.6%    1.7%  RegExp: [ \t]*<%_
     15    0.3%    0.3%  LazyCompile: *resolve node:path:1091:10
      8    0.2%    0.2%  LazyCompile: *deserializeObject /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/deserializer.js:65:27
      7    0.1%    0.2%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
      5    0.1%    0.1%  LazyCompile: *serializeInto /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/serializer.js:553:23
      4    0.1%    0.1%  LazyCompile: *scanLine /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/ejs.js:815:22
      4    0.1%    0.1%  LazyCompile: *normalizeString node:path:66:25
      4    0.1%    0.1%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      3    0.1%    0.1%  RegExp: _%>[ \t]*
      3    0.1%    0.1%  LazyCompile: *realpathSync node:fs:2412:22
      3    0.1%    0.1%  Function: ^processWaitQueue /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection_pool.js:406:21
      3    0.1%    0.1%  Function: ^get node:internal/bootstrap/pre_execution:307:8
      2    0.0%    0.0%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      2    0.0%    0.0%  RegExp: ^.*[\.\/\\]
      2    0.0%    0.0%  RegExp: [\u0000-\u001f\u0022\u005c\ud800-\udfff]|[\ud800-\udbff](?![\udc00-\udfff])|(?:[^\ud800-\udbff]|^)[\udc00-\udfff]
      2    0.0%    0.0%  RegExp: (<%%|%%>|<%=|<%-|<%_|<%#|<%|%>|-%>|_%>) {1}
      2    0.0%    0.0%  LazyCompile: *setHeader node:_http_outgoing:574:57
