Statistical profiling result from autocannon_con_log.log, (5123 ticks, 82 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    107    2.1%          /usr/lib/system/libsystem_pthread.dylib
     98    1.9%          /usr/lib/system/libsystem_malloc.dylib
     92    1.8%          /usr/lib/system/libsystem_c.dylib
     91    1.8%          /usr/lib/system/libsystem_kernel.dylib
     61    1.2%          /usr/lib/libc++.1.dylib
     26    0.5%          /usr/lib/system/libsystem_platform.dylib
     19    0.4%          /System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation
      3    0.1%          /usr/lib/libc++abi.dylib
      2    0.0%          /usr/lib/system/libdyld.dylib
      2    0.0%          /usr/lib/libobjc.A.dylib
      1    0.0%          /usr/lib/system/libsystem_notify.dylib
      1    0.0%          /usr/lib/system/libsystem_m.dylib

 [JavaScript]:
   ticks  total  nonlib   name
    107    2.1%    2.3%  RegExp: [ \t]*<%_
     18    0.4%    0.4%  LazyCompile: *resolve node:path:1091:10
      6    0.1%    0.1%  RegExp: _%>[ \t]*
      5    0.1%    0.1%  LazyCompile: *serializeInto /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/serializer.js:553:23
      5    0.1%    0.1%  LazyCompile: *deserializeObject /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/deserializer.js:65:27
      4    0.1%    0.1%  RegExp: (<%%|%%>|<%=|<%-|<%_|<%#|<%|%>|-%>|_%>) {1}
      4    0.1%    0.1%  LazyCompile: *writeOrBuffer node:internal/streams/writable:365:23
      4    0.1%    0.1%  LazyCompile: *normalizeString node:path:66:25
      4    0.1%    0.1%  LazyCompile: *next /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/router/index.js:177:16
      4    0.1%    0.1%  LazyCompile: *getEncodingOps node:buffer:679:24
      4    0.1%    0.1%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      4    0.1%    0.1%  LazyCompile: *<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/connect-mongo/build/main/lib/MongoStore.js:236:10
      3    0.1%    0.1%  RegExp: [&<>'"]
      3    0.1%    0.1%  LazyCompile: *scanLine /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/ejs.js:815:22
      2    0.0%    0.0%  RegExp: ^\s*([^;\s]*)(?:;|\s|$)
      2    0.0%    0.0%  RegExp: ^\/failregister\/?$
      2    0.0%    0.0%  RegExp: [^\t\x20-\x7e\x80-\xff]
      2    0.0%    0.0%  RegExp: (<%%|%%>|<%=|<%-|<%_|<%#|<%|%>|-%>|_%>)
      2    0.0%    0.0%  LazyCompile: *validateString node:internal/validators:118:24
      2    0.0%    0.0%  LazyCompile: *serializeObject /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/serializer.js:260:25
      2    0.0%    0.0%  LazyCompile: *now /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/utils.js:571:13
      2    0.0%    0.0%  LazyCompile: *handle /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/router/index.js:136:31
      2    0.0%    0.0%  LazyCompile: *emit node:events:474:44
      2    0.0%    0.0%  LazyCompile: *_write node:internal/streams/writable:283:16
      2    0.0%    0.0%  LazyCompile: *Template /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/ejs.js:509:18
      2    0.0%    0.0%  Function: ^validateString node:internal/validators:118:24
      2    0.0%    0.0%  Function: ^trim_prefix /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/router/index.js:293:23
      2    0.0%    0.0%  Function: ^release /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sessions.js:624:12
      2    0.0%    0.0%  Function: ^fromOptions /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/write_concern.js:40:23
      2    0.0%    0.0%  Function: ^end node:_http_outgoing:833:45
      2    0.0%    0.0%  Function: ^deserializeObject /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/deserializer.js:65:27
      2    0.0%    0.0%  Function: ^Transaction /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/transactions.js:57:16
      2    0.0%    0.0%  Function: ^Socket._writeGeneric node:net:769:42
      1    0.0%    0.0%  RegExp: ^\/register\/?$
      1    0.0%    0.0%  RegExp: ^\/faillogin\/?$
      1    0.0%    0.0%  RegExp: ^\/api\/productos\/?(?=\/|$)
      1    0.0%    0.0%  RegExp: ^\/api\/productos-test\/?$
