Statistical profiling result from autocannon_sin_log.log, (4825 ticks, 77 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    105    2.2%          /usr/lib/system/libsystem_kernel.dylib
     89    1.8%          /usr/lib/system/libsystem_pthread.dylib
     88    1.8%          /usr/lib/system/libsystem_c.dylib
     72    1.5%          /usr/lib/system/libsystem_malloc.dylib
     45    0.9%          /usr/lib/libc++.1.dylib
     15    0.3%          /usr/lib/system/libsystem_platform.dylib
      8    0.2%          /System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation
      1    0.0%          /usr/lib/system/libxpc.dylib
      1    0.0%          /usr/lib/system/libdyld.dylib
      1    0.0%          /usr/lib/libobjc.A.dylib
      1    0.0%          /usr/lib/libc++abi.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     99    2.1%    2.3%  RegExp: [ \t]*<%_
     23    0.5%    0.5%  LazyCompile: *resolve node:path:1091:10
      6    0.1%    0.1%  LazyCompile: *scanLine /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/ejs.js:815:22
      5    0.1%    0.1%  RegExp: _%>[ \t]*
      5    0.1%    0.1%  LazyCompile: *writeOrBuffer node:internal/streams/writable:365:23
      5    0.1%    0.1%  LazyCompile: *deserializeObject /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/deserializer.js:65:27
      4    0.1%    0.1%  LazyCompile: *serializeInto /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/serializer.js:553:23
      4    0.1%    0.1%  LazyCompile: *normalizeString node:path:66:25
      3    0.1%    0.1%  LazyCompile: *parseTemplateText /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/ejs/lib/ejs.js:761:31
      3    0.1%    0.1%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      3    0.1%    0.1%  LazyCompile: *next /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/router/index.js:177:16
      3    0.1%    0.1%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
      3    0.1%    0.1%  LazyCompile: *<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/connect-mongo/build/main/lib/MongoStore.js:236:10
      3    0.1%    0.1%  Function: ^deserializeObject /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/parser/deserializer.js:65:27
      2    0.0%    0.0%  RegExp: (<%%|%%>|<%=|<%-|<%_|<%#|<%|%>|-%>|_%>) {1}
      2    0.0%    0.0%  LazyCompile: *processWaitQueue /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/connection_pool.js:406:21
      2    0.0%    0.0%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      2    0.0%    0.0%  LazyCompile: *extname node:path:1385:10
      2    0.0%    0.0%  LazyCompile: *emit node:events:474:44
      2    0.0%    0.0%  LazyCompile: *Long /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/bson/lib/long.js:59:18
      2    0.0%    0.0%  Function: ^readableAddChunk node:internal/streams/readable:236:26
      2    0.0%    0.0%  Function: ^processPromiseRejections node:internal/process/promises:211:34
      2    0.0%    0.0%  Function: ^peek /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/denque/index.js:61:38
      2    0.0%    0.0%  Function: ^parserOnIncoming node:_http_server:852:26
      2    0.0%    0.0%  Function: ^module.exports /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/qs/lib/parse.js:239:27
      2    0.0%    0.0%  Function: ^get node:internal/streams/duplex:94:8
      2    0.0%    0.0%  Function: ^emit node:events:474:44
      2    0.0%    0.0%  Function: ^authenticate /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/passport/lib/middleware/authenticate.js:94:31
      2    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/sdam/topology.js:479:26
      2    0.0%    0.0%  Function: ^<anonymous> /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/router/index.js:640:19
      1    0.0%    0.0%  RegExp: ^\/logout\/?$
      1    0.0%    0.0%  RegExp: ^\/failregister\/?$
      1    0.0%    0.0%  RegExp: ^\/api\/productos-test\/?$
      1    0.0%    0.0%  RegExp: ^\$ref$|^\$id$|^\$db$
      1    0.0%    0.0%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      1    0.0%    0.0%  RegExp: ^((?:@[^/\\%]+\/)?[^./\\%][^/\\%]*)(\/.*)?$
      1    0.0%    0.0%  RegExp: [|\\{}()[\]^$+*?.]
      1    0.0%    0.0%  RegExp: [\u0000-\u001f\u0022\u005c\ud800-\udfff]|[\ud800-\udbff](?![\udc00-\udfff])|(?:[^\ud800-\udbff]|^)[\udc00-\udfff]
      1    0.0%    0.0%  RegExp: [&<>'"]
      1    0.0%    0.0%  RegExp: (<%%|%%>|<%=|<%-|<%_|<%#|<%|%>|-%>|_%>)
      1    0.0%    0.0%  LazyCompile: *write node:buffer:593:12
      1    0.0%    0.0%  LazyCompile: *trim_prefix /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/router/index.js:293:23
      1    0.0%    0.0%  LazyCompile: *stringifyFnReplacer /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/safe-stable-stringify/index.js:231:32
      1    0.0%    0.0%  LazyCompile: *slowCases node:internal/util:165:19
      1    0.0%    0.0%  LazyCompile: *send /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/response.js:111:25
      1    0.0%    0.0%  LazyCompile: *parse /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/mongodb/lib/cmap/commands.js:426:10
      1    0.0%    0.0%  LazyCompile: *onwrite node:internal/streams/writable:425:17
      1    0.0%    0.0%  LazyCompile: *join node:path:1166:7
      1    0.0%    0.0%  LazyCompile: *handle /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/express/lib/router/layer.js:86:49
      1    0.0%    0.0%  LazyCompile: *getStatsFromBinding node:internal/fs/utils:530:29
      1    0.0%    0.0%  LazyCompile: *get node:internal/streams/duplex:94:8
      1    0.0%    0.0%  LazyCompile: *fastparse /Users/gonzabertinat/Desktop/CoderHouse/Backend/Repositorio/src/Desafio16/node_modules/parseurl/index.js:95:20
      1    0.0%    0.0%  LazyCompile: *dirname node:path:1275:10
